english,transcription,russian,mnemonic_list
fray,[freɪ],изнашиваться,['еФРЕЙтор износил до дыр сапоги']
abrasion,[ə'breɪʒ(ə)n],износ,['ОБРЕЗАНие без ссадин']
abundance,[ə'bʌndən(t)s],изобилие,"['ЭБОНитовые ДЕНьги богатство', 'многО БАНДАН Синих это изобилие для рокера и байкера', 'ПЛЕНный ТЫ и в камере избыток заключенных']"
affluent,['æfluənt],изобильный,['АFера FLUENT (СВОБОДНО) сделала его богатым']
image,['ɪmɪʤ],изображение,"['ИМИДЖ пугачевой - изображение только в шляпах', 'И МАЖет образ художник']"
ingenious,[ɪn'ʤiːnɪəs],изобретательный,['Изобретательный ИНЖЕНер был очень беден.']
invent,[ɪn'vent],изобретать,['Все изобретения надо ИНВЕНТаризировать.']
invention,[ɪn'venʃ(ə)n],изобретение,['ИНдюк изобрел ВЕНТилятор и одел его себе на голову и ходит ваЖНый раздутый по двору']
sequester,[sɪ'kwestə],изолировать,['Требующие СЕКВЕСТрА депутаты изолировались в своих кабинетах.']
insulating,['ɪnsjəleɪtɪŋ],изоляционный,"['обклеив все ИЗОЛяционной лЕнТой, маленький Вася решил поиграть в викИНГов']"
astonishing,[ə'stɔnɪʃɪŋ],изумительный,['ЕСТОНИя ШИкарно изумительна']
admiration,[ˌædmə'reɪʃ(ə)n],изумление,"['АДМИРЕЙШи (адмиральши) Не заслуживают восторга', 'БИки (быки) ВИЛы ДЕРжат. Всё прохожие изумляются и сбиваются с толку', '-Ты изумлен?\n-ДА ИЗумлен.']"
amaze,[ə'meɪz],изумлять,"['ИМЕЙ Змей чтобы поражать', 'что ты всЕ СТОНИШь (стонешь), ты этим меня изумляешь', 'Удивляют меня ЭСТОНцы своей медленной речью']"
marvel,['mɑːv(ə)l],изумляться,['МАРт ВЕЛит восхищаться девушками']
emerald,['em(ə)r(ə)ld],изумруд,['гЕнЕРАЛ Достал изумруд']
emerald,['em(ə)r(ə)ld],изумрудный,['ЭсМЕРАЛьДа в изумрудном платье']
learn,[lɜːn],изучать,"['мне ЛЕНь учиться изучать ЛЁН', 'ОВИР, ХОЛЛ - тут мы будем тщательно изучать ваш запрос на эмиграцию', 'изучать СКРУченные ТЕНи глазами (АИЗ - eyes)', 'СДАДИ(сдай) свою мочу для изучения', 'первая СТАДИя позволяет изучить проблему']"
investigate,[ɪn'vestɪgeɪt],изучить,"['ИНВЕСТор Идет к GATE (выход), чтобы изучить, когда полетит его самолет']"
grace,[greɪs],изящество,['ГРЕЙСя среди привлекательных амазонок']
exquisite,"[ɪk'skwɪzɪt,",изящный,"['ИКона СКВОЗИТ изысканностью и тонкой работой', 'в этом графическом ФАЙле Находится фотография изящной актрисы', 'аккуратные НИТИ у паука', 'аккуратно вставляет НИТку в иголку']"
icon,['aɪkɔn],икона,"[""Есть созвучность: А'ЙКОН и икона.""]"
calf,[kɑːf],икра,"['КАФбои носят сапоги до икр.', 'икры ног закутал КАФтан']"
ooze,[uːz],ил,['УЗник долговой ямы по горло в грязи']
be,worth,иметь,"['Стоила ли БИТа того, чтобы ее украл ВОР в Сапогах и попал в тюрьму', 'крокоДИЛ имел дело с ДИЛлером и обогатился', 'ДИЛер торговал бумагами', 'сДЕЛка', 'Провалилась миссия из-за нехватки ФАЙЛов', 'ХАСка имеет хозяина', 'Имею сильный ХАрактер и Волю', 'когда я ХАВаю я имею аппетит', 'Каждая ХЭВария (авария) имеет последствия.', 'ХАлВа имеет высокую энергетическую ценность', 'иметь любовь к ХЭВи метл', 'МЕТЕор имеетзначение\\ для науки', 'намеревались МИНу поставить', 'Нуждается даже НЕгодяй в Доброте и ласке', 'РИсовал ЗЕМЛю похоже', 'в ГЛАВНЫЙ СТВОЛ идёт СТОК всех ЗАПАСов, это ОПОРА ФОНДа, который СНАБЖАЮТ АКЦИИ']"
empress,['emprəs],императрица,['ЕМ ПРИ Самой императрице']
extempore,"[ɪk'stemp(ə)rɪ,",импровизированный,"['БЕЗ ТЕМПА РИТМ - импровизированный, экспромтом.']"
boost,[buːst],импульс,['БЮСТ красивый у девицы\nПодтолкнул на ней жениться.']
asset,['æset],имущество,"['искать приключения на свою задницу (ЭС - Ass) - ЭТо моё ценное качество', 'на Джеймса БОНДа надели оковы', 'И СТЕнка осталась от имущества', 'И ШТАТы входили в его имущество', 'ПАРА ВОНючих носков И ЛИАны - вот его личное имущество.']"
name,[neɪm],имя,"['НЕЙМан - это имя.', 'НЕМой забыл свое имя', 'НАИМЕнование товара', 'Имя Немо НЕМое']"
list,[lɪst],инвентарь,"['Препод всучил мне перечень наиболее распространённых гЛИСТов. Этот список я должен был выучить к завтрашнему занятию да ещё притащить этих тварей живьём как наглядное пособие!', 'список гЛИСТов, обнаруженных у моей подруги, казался бесконечным. Ознакомившись с перечнем остальных болезней, стало ясно: выход один - морг.']"
personality,[ˌpɜːs(ə)'nælətɪ],индивидуальность,['ПЕРСОне НАЛИТО за личные свойства']
industrial,[ɪn'dʌstrɪəl],индустриальный,"[""ИНДА'СТРИАЛ и индустриальный - созвучно.""]"
turkey,['tɜːkɪ],индюк,['ели в ТУРциИ ТУРКИ индюка']
rime,[raɪm],иней,"['в РАЕ Мороз из-за изменения климата на земле, там появился иней']"
engineer,[ˌenʤɪ'nɪə],инженер,['Инженер это ИНЖЕНЕР']
fig,[fɪg],инжир,['ФИГовый какой-то инжир я купил']
initiative,[ɪ'nɪʃətɪv],инициатива,['Инициатива сначала наказывает ИНИциатора ШтАТИВом']
inlay,['ɪnleɪ],инкрустация,['ИНдеец ЛИ носил нож с инкрустацией.']
occasionally,[ə'keɪʒ(ə)n(ə)lɪ],иногда,"['Время от времени ОКАЗывается на паНЕЛИ проститутка М.', 'SOME -некоторый, TIME - время, вместе получается иногда.', 'иногда я САМ ТОМлюСь\nиногда я САМ ТАМ С друзьями']"
stranger,['streɪnʤə],иностранец,['СТРАНный он однако этот незнакомец']
foreign,['fɔrɪn],иностранный,"['ФОРИНты венгерские - иностранная валюта', 'ФОРИНт – иностранная монета', 'на урок иностранного в пришел в ФОРме ИНостранец']"
gear,[gɪə],инструмент,"['ГИрЯ приспособление спортсмена', 'хулиганов задержали ИМ ПЛЕМя МЕНТовское выдало орудия инструменты и лопаты', 'роль саааамооогооо сильного орудия (инструмента) в покорении сердца любимой выполняет (осуществляет) к(О)ИМПЛИМЕНТ', 'Это кто ее ТЫКАЛ свиом инструментом?', 'хирург инструментом ТЫКАЛ в живот', 'ТУЛьский инструмент']"
pageant,['pæʤənt],инсценировка,['ПЕрю ЖЕНили на маскараде']
intelligence,[ɪn'telɪʤ(ə)n(t)s],интеллект,['От названия британской разведки ИНТЕЛЛИДЖЕНС-сервис.']
intense,[ɪn'ten(t)s],интенсивный,['ИНТЕНСивный рывок сильного человека']
concern,[kən'sɜːn],интерес,"['КОНЦЕРта Не будет, дело в том, что свет пропал. Беспокоиться и огорчаться не о чем. В отношении организаторов концерта, возбуждено уголовное дело.']"
interesting,['ɪntrəstɪŋ],интересный,['ИНТРИСТИН и интересный - созвучно.']
wonder,['wʌndə],интересоваться,"['ВАННа ДЕРевянная - это просто чудо - представьте джакузи из дерева с золотыми кранами и такая стоит у вас на кухне, например, и все гости всегда удивляются, видя такое']"
scheme,[skiːm],интрига,"['Интриги чтобы сделать, надо для них разрабатывать целые СХЕМы.']"
information,[ˌɪnfə'meɪʃ(ə)n],информация,"['Информация как ИНФОРМАЦия, ничего интересного.']"
inform,[ɪn'fɔːm],информировать,['ИНФОРМ бюро информирует нас']
mortgage,['mɔːgɪʤ],ипотека,"['Ипотеку изМОРом получил ГАДзила', 'в МОРГЕ ДЖон работал и заработал на ипотеку']"
toffee,['tɔfɪ],ириска,['ириска Только из кОФИ (кофе-coffee)']
claim,[kleɪm],иск,['требую на всех детях ставить КЛЕЙМо']
contort,[kən'tɔːt],искажать,"['КОНчай ТАТами искривлять', 'ДЕСантник ТОрТ исказил', 'при ТВИСТе ноги надо искривлять']"
distortion,[dɪ'stɔːʃ(ə)n],искажение,['ДИЗельные ТОРШЕры искажают реальность и искривляют пространство']
look,for,искать,"['Ищу ЛУК для ФОтографии', 'ЛУКА Пустился в поиски', 'Искал в справочнике как сажать ЛУК и АПельсины', 'рыться в поисках РАМы на велосипед И ДЖинсов', 'Врачи ищут пятно на СЕТЧатке его глаза.', 'искать на карте СОЧи', 'все на поиски СОЧника (песочное пироженое)', 'Изчет золотые СЕРежкм ЧЕбурашка', 'СЕЧь ребёнка чтобы он нашёл время учиться', 'искать где бы поСИКать', 'СЕКретные улики искал скуратов в бане', 'чтобы искать еду, таракану нужны уСИКи']"
count,out,исключать,"['американский КОНТинент включили в карты потом ОТключили(исключили)', 'Исключили из продажи ЭКСКЛЮзивные Духи']"
exception,"[ɪk'sepʃ(ə)n,",исключение,"['персонал был дружелюбный, за исключением сотрудников на рЭКСЕПШЕН']"
singular,['sɪŋgjələ],исключительный,['ЦИНГУ ЛЕчили необычно']
disroot,[dɪs'ruːt],искоренять,['ДЕргаю за кишку в месте где СРУТ и вырываю ее с корнем']
leer,[lɪə],искоса,"['макака залезла на ЛИАну и смотрит искоса, смотрит хитро, злобно на человека']"
spark,[spɑːk],искра,"['Из одной искры может СПАКойно (спокойно) возгореться пламя.', 'С ПАКета начали вылетать искры', 'иСПАРилась поКЛажа, осталась лишь искра воспоминаний']"
frank,[fræŋk],искренний,"['ФРЭНК искренний', 'ФРАНКи, населяющие францию, открытые люди']"
candour,['kændə],искренность,"['Искренность, это когда ребенок спрашивает:\n-Как зовут мужа барби, КЕН, ДА?\nА родитель отвечает:\n-Кен, да.']"
distortion,[dɪ'stɔːʃ(ə)n],искривление,['ДИЗельные ТОРШЕры искажают реальность и искривляют пространство']
contort,[kən'tɔːt],искривлять,['КОНчай ТАТами искривлять']
glisten,['glɪs(ə)n],искриться,"['уГЛИ СЫН засунул в огонь, смотри, как теперь искрится, сияет пламя']"
clever,['klevə],искусный,['КЛЕВЕР был искусно подобран к другим цветам']
artificial,[ˌɑːtɪ'fɪʃ(ə)l],искусственный,['Ненатуральный АРТИШок выращиваю в огороде']
art,[ɑːt],искусство,"['блАТ в искусстве не поможет', 'АТака на искусство', 'только высшее мастерство позволит установить пол СКИЛета.', 'С КИЛькой сражаться - особое искусство.']"
tempt,[tempt],искушать,['в ТЕМноТе соблазняла']
soil,[sɔɪl],испачкать,"['купил новую машину, посадил в нее малыша и он испачкал САЛон соусом']"
dastard,['dæstəd],исподтишка,"['Фанаты ультра(негодяи, действующие из-под тишка) спросили:\n-ГДЕ СТАДион?']"
implements,['ɪmplɪmənts],исполнение,['ИМ ПЛЕМЕНным Самцам обеспечивать будущее в обществе амазонок']
chief,executive,исполнительный,"['Исполнительный директор, Чья Фирма, занимающаяся продажей ИГрушек, ЗапчастЕй К ним и других ТоВаров ОФИциально Распалась']"
comply,[kəm'plaɪ],исполнять,"['КОМПьютер испоЛнАЙет и удовлетворяет все пожелания', 'ЭКЗЕКУТОР исполняет приговор']"
apply,[ə'plaɪ],использовать,"['с Эдиком ПЛОхо обращались', 'я взяла apple (яблоко), заткнула ИМ ЛАЙ собаки — это отличное применение', 'ЮЗпользовать - использовать.', 'ЮЗеры используют комп неправельно', 'флЮС используют при пайке']"
spoil,[spɔɪl],испортить,['СПОИЛ и испортил соседа']
taint,[teɪnt],испорченность,['ТНТ не показывает позор и испорченность.']
bad,[bæd],испорченный,"['БЕДман купил испорченный мотоцикл', 'КОРАбль ПоТонул т.к. был испорченный', 'РОТ Негра гниет', 'РОТНый старшина - гнилой и испорченный', 'ТЕНТ с Дыркой он безвозвратно испорчен, теперь дождь будет капать на всех']"
rectification,[ˌrektɪfɪ'keɪʃ(ə)n],исправление,['РЕКу ТИФозную КОнеШНо очистим']
amend,[ə'mend],исправлять,"['А МЕНТ исправлял ошибки водителей', 'От слова КОРРЕКТировать - исправлять.', 'восстановили показ РЕКЛАМ']"
consternation,[ˌkɔn(t)stə'neɪʃ(ə)n],испуг,"['КОСТЕРил почем зря, довел его до ужаса, испуга, оцепенения', 'Детей нЕ СМЕЙ пугать', 'СКАРлет ёхансон получила испуг от назойливого фаната']"
afraid,[ə'freɪd],испуганный,"['испуганный ФРЕЙД стоит перед АФРОДитой', 'А ФРЕЙД не был испуганным человеком', 'я испугался что мне не дадут звание ЕФРЕЙТора', 'ФРАер ТО Наверно испугался ?', 'Испуганный ФРАНкенштейн убежал от ТЕНи']"
startle,['stɑːtl],испугать,"['на СТАрТе у всех Лица исказились от испуга, т.к. вместо стартового пистолета раздался выстрел из пушки.']"
emit,"[ɪ'mɪt,",испускать,['Ты испустил весь свой лИМИТ газов']
ordeal,[ɔː'diːl],испытание,"['ФедОР - ДИЛер Форда, чтобы стать дилером ему пришлось пройти тяжелое испытание.', 'ПРОБЕЙ ШИНы это твое испытание', 'ТЕСТ на выносливость - серьезное испытание', 'Пентагон уТРОИЛ количество испытаний ракет.']"
itch,[ɪʧ],испытывать,"['Я очень хочу это увидеть лИЧно, своими собственными глазами.', 'моя бабушка нуждается в ЛЕКарствах']"
carry,out,исследование,"['Выполняет работу по ремонту КАРет АВТослесарь', '""по рЕКе СПЛАв завершайте скоРЕЙ, пока есть ШаНс успеть до непогоды"", - передали по радио смельчакам, осваивающим горные массивы', 'когда проводилось исследование нового препарата, исследователи буквально ЭКСПЛУатиРовали нас', 'РИС ОЧень важен для научного исследования', 'РИС с СОком Человек отправил на исследование после того как после них весь офис хохотал и не мог остановиться', '""беРИСЬ за исследования в этой области, она не изучена, и это ОЧень важно"", - посоветовал профессор выпускнику']"
investigate,[ɪn'vestɪgeɪt],исследовать,"['ИНВЕСТоры БИлла ГЕЙТса расследуют пропажу своих денег.', 'ИНВЕСТор Идет к GATE (выход), чтобы изучить, когда полетит его самолет', 'исследовать РИСовые СЕЧки']"
parch,[pɑːʧ],иссушать,['С помощью ПАЧки сухого спирта иссушили всю мокрую одежду и даже немного опалили.']
bleed,[bliːd],истекать,"['БЛИзок День когда ты истечешь кровью', 'выглядишь очень БЛЕДно, так как истёк кровью']"
prosecutor,['prɔsɪkjuːtə],истец,"['Обвинитель ПРОСЕКЕТ, что судья подкуплен.']"
verity,['verətɪ],истина,"['Вы ВЕРИТЕ, что это истина?']"
veritable,['verɪtəbl],истинный,"['принесли ВЕРИ сТЕБЛь истинный, настоящий, подлинный']"
source,[sɔːs],исток,['СОСиску хранит в ледяном источнике']
story,['stɔːrɪ],история,['иСТОРИя']
bother,['bɔðə],источник,"['БОЖЕ мой, от тебя одни беспокойства и хлопоты', 'ОРИГИНально начал старт упав лицом в источник', 'СОСиску хранит в ледяном источнике', 'СОСиску хранит в ледяном источнике', 'СОси водУ Ртом Стоя из источника', 'СПАзмы лечит вода из минерального источника.']"
deplete,[dɪ'pliːt],истощать,"['Я исчерпал всю приготовленную еду. иДИ, ПЛИТа ждёт тебя.']"
distress,[dɪ'stres],истощение,['от истощения нарки на ДИСкотеке ТРЯСут деньги']
event,[ɪ'vent],исход,"['И ВЕНТилятор в результате стал вертолетом', 'Из ИСЬЮса (Иисуса) вытекает энергия.']"
skinny,['skɪnɪ],исхудалый,['СКИдывали в спарте самых исхудалых с обрыва']
heal,[hiːl],исцелять,['Все ХИЛые люди могу исцеляться в сауне.']
disappear,[ˌdɪsə'pɪə],исчезать,"['Изчез ДИЗЕртир, так как он пошел на ПИР', 'ФЕДорино горе постепенно исчезло', 'ВЭНЮШа (Ванюша) куда-то исчез.', 'ВАНЮШа гулял по тонкому льду исчез и пропал он и вряд ли найдут', 'протер ВАНИШем и все исчезло', 'средство ВАНИШ – для удаления пятен – и они исчезают']"
deplete,[dɪ'pliːt],исчерпывать,"['Я исчерпал всю приготовленную еду. иДИ, ПЛИТа ждёт тебя.']"
summary,['sʌm(ə)rɪ],итог,['СУММАРный итог']
july,[ʤu(ː)'laɪ],июль,"[""ДЖУЛА'Й - июль.""]"
june,[ʤuːn],июнь,['ДЖУН - июнь.']
iodine,['aɪədiːn],йод,['дАЙ ОДИН йод']
crib,[krɪb],кабак,['лачуга как большой ГРИБ']
boar,[bɔː],кабан,['хряк под БаОбАбом']
squash,[skwɔʃ],кабачок,"['СКВАШу ка я кабачков', 'Кабачками играем в СКВОШ']"
cable,['keɪbl],кабель,"['КАБеЛь натянули, тросы закрепили']"
cage,[keɪʤ],кабина,['николаса КЕЙДЖа посадили в клетку']
cabinet,['kæbɪnət],кабинет,['его КАБИНЕТ находился прямо в кабине машины.']
booth,[buːð],кабинка,['кабинка заполнена БУСами']
heel,[hiːl],каблук,"['ХИЛлари Клинтон держит Билла под каблуком.', 'за пятку держали аХИЛла']"
sowar,[sə'wɑː],кавалерист,['САВАн для кавалериста']
shambles,['ʃæmblz],кавардак,"['ШАры, МоБиЛьники, Золото - такой кавардак в домах новых русских.']"
quote,[kwəut],кавычка,['Ты исчерпал КВОТу на цитаты. Теперь говори своими словами.']
seem,[siːm],казаться,"['Кажется, СИМ-сим открылся.', 'пароль кажется СИМ-сим', 'СИМпатичные кажутся всегда глупыми', 'СИМуляция кажется реальной.', 'мне казалось, что надо сказать сейфу СИМ-СИМ он откроется']"
hem,[hem],кайма,"['сХЕМа нарисована на кайме, краю его рубашки']"
cripple,['krɪpl],калека,['КРИво ПЛывешь-ты разве калека?']
mangle,['mæŋgl],калечить,['калеку порубили на МАНГАЛ']
drawers,[drɔːz],кальсоны,['ДРУЗья кальсоны отобрали']
flounder,['flaundə],камбала,['ФЛАУНДЕР из мультфильма русалочка на самом деле был камбалой']
quarry,['kwɔrɪ],каменоломня,"['Преследуемая добыча волков убегал от них, укрылся в каменоломне и избавился от ХВОРИ.']"
gem,[ʤem],камень,"[""наряД 'ЖЕМчужина' можно смело назвать ДРАГОЦЕННЫМ камнем новой коллекции!"", 'Драгоценный ДЖЕМ', 'После удара головой о камень она издала душераздирающий СТОН', 'как Шерон СТОУН – Шерон камень', 'Камни не СТОНут']"
cloak-room,[kləuk,камера,['В камеру хранения вещи принимает КЛОун РУМяный']
chimney,['ʧɪmnɪ],камин,"['печка - ЧЕМ НЕ камин? труба - ЧЕМ НЕ дымоход?', 'У камина в ведре ФЕЕи ПЛЕщутся']"
cane,[keɪn],камыш,['КЕЙптауН зарос камышом и тростником.']
dike,[daɪk],канава,"['ДАЙ-Ка прыгну через канаву', 'оДИЧал живя в канаве', 'Охотники сбрасывали ДИЧЬ в канаву.']"
sewer,['səuə],канализация,['эта канализация ведет на СЕВЕР']
cable,['keɪbl],канат,"['КАБеЛь натянули, тросы закрепили']"
manacle,['mænəkl],кандалы,['МОНИКА Лежала в наручниках']
applicant,['æplɪk(ə)nt],кандидат,['Кандидат на работу сделал АППЛИкацию из своего КОНТракта']
holiday,['hɔlədeɪ],каникулы,"['Каникулы я провел в ХОЛОДЕ.', 'в ХОЛодный ДЕНЬ начались каникулы']"
New,Year`s,канун,['В канун Нового года в НЬЮ- ЙОРке зацветают ИВы']
trickle,['trɪkl],капать,"['эта жидкость течет тонкой струйкой, сочится, капает на внуТРИКЛеточном уровне']"
captain,['kæptɪn],капитан,"[""КЭ'ПТИН и капитан - созвучно.""]"
surrender,[sə'rendə],капитулировать,['СЭР АНДРЕй решил капитулировать перед трудностями']
surrender,[sə'rendə],капитуляция,['САРАй НаДО сдавать врагам']
hood,[hud],капот,['Подстреленная ХУДка (утка) упала на капот.']
caprice,[kə'priːs],каприз,"[""КЭ'ПРИС и каприз - созвучно."", 'каприза не ела ФРИКадельки', '-ВЕЙ, ГАРрИ, веером, - с капризом сказала\nжена Гарри.']"
moody,['muːdɪ],капризный,"['МОДА капризна', 'НОТЫ трясет непослушный ребенок', 'Непослушный ребенок заслуживает НОТациИ.', 'капризный ребёнок не хочет ПИть ВИШнёвый сок', 'ПИВо видИШь? Не капризничай - нельзя тебе пить']"
cabbage,['kæbɪʤ],капуста,"['Британский КЭБ (такси) вас повезет, только если будете соблюдать британский имИДЖ, у вас на голове должна быть капуста', 'Капусту КАБан в ДЖинсах ест', '1)Мне пожалуйста 10 КЕЙЛо капусты листовой.\n2)У нас иногда деньги называют “капуста”.']"
hood,[hud],капюшон,['ХУДой ХУДожник рисовал колпак']
scramble,['skræmbl],карабканье,"['Альпинист карабкается по горе еле еле. Ему по рации:\n-Ты что, торт съел?\n-С КРЕМом, БЛин!']"
climb,[klaɪm],карабкаться,"['Кто это карабкается К ЛАЙМе?', 'Карабкается К ЛАЙМу кот']"
pencil,['pen(t)s(ə)l],карандаш,"['Один из заводов по производству карандашей находится в штате ПЕНСИЛьвания.', 'питер ПЭН СЛучайно сломал свой карандаш', 'Карандаши вПЕНале из СИЛикона']"
punish,['pʌnɪʃ],карать,['Назакал ПАпа сыНИШку за курение']
sentry,['sentrɪ],караул,['у СЕНатора ТРИ человека караул']
cartoon,[kɑː'tuːn],карикатура,['карикатура где КОТУ Наступили на хвост']
frame,[freɪm],каркас,['мама В РЕМонт сдала раму']
pocket,['pɔkɪt],карман,"['Твой карман похож на ПАКЕТ.', 'ПАКЕТ положу в карман']"
pocket,['pɔkɪt],кармашек,['Из кармана торчит ПАКЕТ']
carnival,['kɑːnɪv(ə)l],карнавал,['КАНИкулы ВЭЛ провела на карнавале.']
eaves,[iːvz],карниз,['Монтан ИВ Заделал карниз и свес крыши.']
carp,[kɑːp],карп,['КАПитан жарит карпа']
deck,[dek],карт,['ДЕКоративная колода карт стоит дорого.']
chart,[ʧɑːt],карта,"['ЧАРТа (черта) была нанесена на карту и в таблицу', 'МАПед ездил по картам']"
picture,['pɪkʧə],картина,"['Коламбия ПИКЧЕрс представляет нам кинокартину', 'на картине изображен с ПИКой ЧЕловек']"
cardboard,['kɑːdbɔːd],картон,"['КОровы наБОДали в картоне много дырок', 'мы взяли много КАРТона на БОРТ']"
cardboard,['kɑːdbɔːd],картонный,['У боксера была операция. ему сделали КАРТонный БОК. Это самое слабое место при ударах']
potato,[pə'teɪtəu],картофель,"['ПОТЕЙ ТЫ, если хочешь есть картофель.', 'ПОТЕрял ТОлченую картошку', 'ПОТЭЙ ТОУреадор при посадке картофеля', 'ПОТЕеТЕ сильно, когда чистите картофель', 'ПОТЕТь кОгда чистке картофеля']"
card,[kɑːd],карточка,['карточки на работников в КАДрах']
French,fries,картошка,['Картошку фри купил ФРАНцузский ФРАер']
whirligig,['(h)wɜːlɪgɪg],карусель,['карусель это ВАЛИк ГИГантский']
concern,[kən'sɜːn],касательство,"['КОНЦЕРта Не будет, дело в том, что свет пропал. Беспокоиться и огорчаться не о чем. В отношении организаторов концерта, возбуждено уголовное дело.']"
touch,[tʌʧ],касаться,['касаться ТАЧки']
helmet,['helmət],каска,['из ХИЛого МЕТалла сделан твой шлем']
booking-office,['bukɪŋ,касса,"['В кассе раздает БУклеты ОФицер', 'в офисе все начали внезапно заниматься БОКСОМ и пришлось всех уволить и переделать его в театральную кассу или представьте маленькую коробку (BOX) она является вашим ОФИСом где вы продаете театральные билеты', 'КАШалот считает наличные деньги в кассе', 'На Кассе КОШелек забыл, когда расплачивался за гладильную ДОСКу']"
cashier,[kæ'ʃɪə],кассир,['кассир КАШАлот']
pan,[pæn],кастрюля,"['кастрюля вся в ПЕНе', 'Кастрюлю мою ПАНталонами', 'ПЕНка в сковороде', 'ПАН поляк идёт с кастрюлей', 'ПОТ выступает когда над горячей кастрюлей постоять', 'тетя с ПОТом на лбу готовить на кухне макароны в кастрюле']"
schedule,['ʃedjuːl],каталог,['ШЕДевры УЛучшали (реставрировали) по плану']
accident,['æksɪd(ə)nt],катастрофа,"['Если тАКСИ ДЕНТиста задавило, это катастрофа.', 'это несчастный случай – ведь КОЗью еду ЕЛ ТЫ !']"
skate,[skeɪt],кататься,"['От слова СКЕЙТборт, т.е. роликовые коньки.']"
roll,[rəul],катить,"['Катить РОУЛики (ролики).', 'РОЛлы готовят в ручную, а потом они катятся в тарелку клиента']"
roll,[rəul],катиться,"['катиться на РОЛиках', 'катиться на РОЛиках с горки', 'катиться на РОЛиках на футбол', 'рулет с мясом кРОЛика']"
convict,['kɔnvɪkt],каторжник,"['КОНВой КОТа тащил в каталажку, теперь он каторжник']"
bobbin,['bɔbɪn],катушка,"['БОБИНа - магнитофонная катушка', 'КОЛя у мамы катушку стащил папа рассерженно колю убил']"
dais,['deɪɪs],кафедра,['ДОИСторический помост']
tile,[taɪl],кафель,['ТАЯЛа на крыше черепица (или снег на ней)']
sway,[sweɪ],качание,['СВЕЙ гнездо одним взмахом']
dandle,['dændl],качать,"['-ДЕНь ДЛится, сколько я качаю на руках вашего ребенка, оплатите труд, - сказала нянька.']"
bob,[bɔb],качаться,"[""коротко подстриженные волосы 'под БОБрик'"", 'ДЭН, ГЛяди, свешивается с балкона 2-го этажа.', 'ДЕНьГи свободно болтаются привязанные к верёвке']"
asset,['æset],качество,"['искать приключения на свою задницу (ЭС - Ass) - ЭТо моё ценное качество', 'БРЕНДи лучшего качества', 'из БРАНсБойта вылетела головешка', 'ГРЕЙДер улучшает качество дорог', 'КВАЛИфикацию ТЫ свою доведи до высшего качества.', 'Вы К(В)ОЛЕТЕ глаза своим качеством']"
oatmeal,['əutmiːl],каша,"['ОТ МИЛой овсяной каши бэрримор отказался', 'ПРОЧной (причиной) их отравления была каша.', 'в тарелке что-то ПОРИстое и ДроЖит – это каша', 'Кашу ПОРосенку ДЖин скормил', 'чё ты ПОРИШЬ, лучше ешь кашу', 'в ПАРИЖе ем кашу']"
whale,[(h)weɪl],кашалот,['кашалот на ВЕЛосипеде']
cough,[kɔf],кашель,"['Растворимый КОФе вызывает кашель.', 'поперхнулся КОФе и закашлялся', 'Каждый раз поднявшись на КАФедру, он сначала громко откашливался, и только потом произносил речь']"
cough,[kɔf],кашлять,['поперхнулся КОФе и закашлялся']
chestnut,['ʧesnʌt],каштан,['каштан - это ЧЕСТный орех (NUT) (когда вы его съедите становитесь очень честным)']
cabin,['kæbɪn],каюта,['из КАБИНы сделали хижину']
square,[skweə],квадрат,['СКВЕр имел форму квадрата.']
square,[skweə],квадратный,['СКВЕР квадратный']
block,[blɔk],квартал,"['патруль БЛОКировал дорогу к нашему кварталу.', 'препятствие из БЛОКов', 'БЛОК НАТО уже всего лишь в квартале от России']"
apartment,[ə'pɑːtmənt],квартира,"['не квартира а целые АПАРТАМЕНТы', 'Даже В 100 ЛЕТ он не получил квартиру.', 'потеряла ФЛЭшку и пришлось убрать всю кварТиру', 'Из квартиры ФЛАг Торчит', 'В квартире живет морской ФЛОТ']"
receipt,[rɪ'siːt],квитанция,['От слова РЕЦЕПТ - квитанция.']
cedar,['siːdə],кедр,['поСИДЕл под кедром и повесился']
cedar,['siːdə],кедровый,['поСИДЕл под кедром и повесился']
cake,[keɪk],кекс,['меняю КЕКс на торт']
cap,['kæp],кепка,['КАПитан ходит в КЕПке']
beckon,['bek(ə)n],кивать,"['-Мустафа, почему он подзывает жестом, кивает?\n-БЕК ОН.']"
nod,[nɔd],кивнуть,['виНОДел кивнул головой']
toss,[tɔs],кидать,['ТОСт кидают на землю на свадьбе']
dagger,['dægə],кинжал,['Давай ДЭГЭворимся (договоримся) драться без кинжалов.']
cinema,['sɪnəmə],кино,"['От слова СИНЕМАтограф, т.е. кино.', 'СИ НЕМА - кино', 'В кино на меня разлили СИНее МОлоко']"
cinema,['sɪnəmə],кинотеатр,['в кинотеатр залетела СИНИца МАленькая']
stall,[stɔːl],киоск,"['ларек, киоск и прилавок объединяет СТОЛ']"
boil,[bɔɪl],кипеть,"['кипятить в БОЙЛере воду надо осторожно иначе можно ошпарить руку', 'Кипит у БОбра в кастрюле болотный ИЛ', 'БОЛьной скипятил себе воду для чая', 'Чайник стал СИЗым от кипения.']"
ebullient,[ɪ'bʌlɪənt],кипучий,['«И БАЛ И НЕТ!» кричал танцор с кипучим нравом.']
